conv_id,domain,row_id,speaker,utterance,sys_act,usr_act,asked_slot,extracted_slots,state_info,state_book,missing_info,missing_book
oracle_movie_00000,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,movie,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00000,movie,1,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00000,movie,2,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,movie,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00000,movie,3,user,Mình muốn đặt vé phim dune.,,"{""act"": ""inform"", ""slots"": {""movie"": ""dune""}}",,"{""movie"": ""dune""}","{""movie"": ""dune""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00000,movie,4,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""dune""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00000,movie,5,user,Bạn biết thời tiết hôm nay không?,,"{""act"": ""oos"", ""slots"": {}}",,"{""date"": ""today""}","{""movie"": ""dune""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
oracle_movie_00000,movie,6,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""dune""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
oracle_movie_00000,movie,7,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},"{""movie"": ""dune""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
oracle_movie_00000,movie,8,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""dune""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
oracle_movie_00000,movie,9,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},"{""movie"": ""dune""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
oracle_movie_00000,movie,10,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""dune""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
oracle_movie_00000,movie,11,user,BHD. Cuối tuần. 18:30,,"{""act"": ""inform"", ""slots"": {""theater"": ""BHD"", ""date"": ""weekend"", ""time"": ""18:30""}}",,"{""date"": ""weekend"", ""time"": ""18:30"", ""theater"": ""BHD""}","{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
oracle_movie_00000,movie,12,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,tickets,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
oracle_movie_00000,movie,13,user,"Mình không tiện nói, hỏi cái khác được không?",,"{""act"": ""refuse"", ""slots"": {}}",,{},"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
oracle_movie_00000,movie,14,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,tickets,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
oracle_movie_00000,movie,15,user,Tư vấn mua laptop giúp mình?,,"{""act"": ""oos"", ""slots"": {}}",,{},"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
oracle_movie_00001,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,movie,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00001,movie,1,user,Mình muốn đặt vé phim oppenheimer.,,"{""act"": ""inform"", ""slots"": {""movie"": ""oppenheimer""}}",,"{""movie"": ""oppenheimer""}","{""movie"": ""oppenheimer""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00001,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""oppenheimer""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
oracle_movie_00001,movie,3,user,Galaxy.,,"{""act"": ""inform"", ""slots"": {""theater"": ""Galaxy""}}",,"{""theater"": ""Galaxy""}","{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}",{},[],"[""date"", ""time"", ""tickets""]"
oracle_movie_00001,movie,4,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,date,,"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}",{},[],"[""date"", ""time"", ""tickets""]"
oracle_movie_00001,movie,5,user,Cho mình hỏi chút.,,"{""act"": ""smalltalk"", ""slots"": {}}",,{},"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}",{},[],"[""date"", ""time"", ""tickets""]"
oracle_movie_00001,movie,6,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,date,,"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}",{},[],"[""date"", ""time"", ""tickets""]"
oracle_movie_00001,movie,7,user,Mai.,,"{""act"": ""inform"", ""slots"": {""date"": ""tomorrow""}}",,"{""date"": ""tomorrow""}","{""movie"": ""oppenheimer"", ""theater"": ""Galaxy""}","{""date"": ""tomorrow""}",[],"[""time"", ""tickets""]"
